count,name,stage,Speaker,Start,End,Day,,,,,,
1,Badge Pickup,Main,,9:00 AM,10:30 AM,Friday,,,,,,
2,Keynote ,Main,,10:30 AM,10:45 AM,Friday,,,,,,
,A Journey from Callback Hell to Kotlin Coroutines,Main,Ahmed Nabil,10:45 AM,11:35 AM,Friday,,,,,,
3,Juma Prayer Time,Main,,11:30 AM,12:00 PM,Friday,,,,,,
4,10 things I wish I learned earlier,Main,Aser Samak,12:00 PM,12:45 PM,Friday,,,,,,
5,Innovation Ops,Jameel,Reham Saleh,12:00 PM,12:45 PM,Friday,,,,,,
6,Is This a Cat? Machine Learning for Android,Main,Paul Ruiz,12:45 PM,1:30 PM,Friday,,,,,,
7,Data Store crash course,Jameel,Nour El-Deen Abou El-Kassem,12:45 PM,1:30 PM,Friday,,,,,,
8,Things to consider while developing Android SDKs,Main,Ahmed Adel,1:30 PM,2:15 PM,Friday,,,,,,
9,Write your Android App with Sync from Scratch,Jameel,Ellie Gehad,1:30 PM,3:00 PM,Friday,,,,,,
10,Concrete abstraction: how much can you simplify code with Kotlin?,main,Louis CAD,2:15 PM,3:00 PM,Friday,,,,,,
11,Productive Mobile App Development,Main,Ahmed El-Helw,3:00 PM,3:45 PM,Friday,,,,,,
12,Jetpack Libraries in hand (with compose),Jameel,Ellie Gehad,3:00 PM,4:30 PM,Friday,,,,,,
13,10 years of Android Development: The Retrospective,Main,Julien Salvi,3:45 PM,4:15 PM,Friday,,,,,,
14,Flutter & Firebase - Love at first message!,Main,Carlo Lucera,4:30 PM,5:15 PM,Friday,,,,,,
15,A Composable New World!,Jameel,Carlos Mota,4:30 PM,6:00 PM,Friday,,,,,,
16,A journey to enhance your app performance,Main,Mohamed Hefny,5:15 PM,6:00 PM,Friday,,,,,,
17,Composing in your Canvas!,Main,Himanshu Singh,6:00 PM,6:45 PM,Friday,,,,,,
18,Create Multiplatform Chat App with Compose and Ktor,Jameel,Ahmed Nabil,6:00 PM,7:30 PM,Friday,,,,,,
19,How a tiny android app is changing travel experience and transporter business industry in Africa,Main,Anselmo Alexandre,6:45 PM,7:30 PM,Friday,,,,,,
20,Implementing a Splash Screen in Android: Full Guide,Main,Dean Djermanovi?,10:00 AM,10:45 AM,Saturday,,,,,,
21,Frida as debugging tool for Android,Jameel,Aleksandr Efremenkov,10:00 AM,10:45 AM,Saturday,,,,,,
22,When one device is not enough,Main,Daniele Bonaldo,10:45 AM,11:30 AM,Saturday,,,,,,
23,Kotlin Multiplatform,Jameel,Ahmed Ali,10:45 AM,11:30 AM,Saturday,,,,,,
24,Modular iOS Application Done Right with Buck,White Room,Karim Ebrahem,10:45 AM,12:15 PM,Saturday,,,,,,
25,Engineer's tales: assessing startups & businesses,Main,Osama FelFel,11:30 PM,12:15 PM,Saturday,,,,,,
26,Shielding Your Mobile App,Jameel,Amr Attia,11:30 PM,12:15 PM,Saturday,,,,,,
27,Flutter. Many faces of Platform Integrations,Main,Aleksandr Denisov,12:15 PM,1:00 PM,Saturday,,,,,,
28,Android Annotations processor,Jameel,Aly Hamalawey,12:15 PM,1:45 PM,Saturday,,,,,,
29,"The future of dependency management, seen from 2022",Main,Louis CAD,1:00 PM,1:45 PM,Saturday,,,,,,
30,Is it the right time to quit your job!,Main,Rabab Huwait,1:45 PM,2:30 PM,Saturday,,,,,,
31,Workshop: Supporting more platforms with KMP,Jameel,Ahmed El-Helw,1:45 PM,3:15 PM,Saturday,,,,,,
32,Crack System Design Interviews for Mobile Engineers,Main,Karim Ebrahem,2:30 PM,3:15 PM,Saturday,,,,,,
33,Lint Checks for a Solid Design System,Main,"Hussein El Feky
& Toka Magdy",3:15 PM,4:00 PM,Saturday,,,,,,
34,Compose Everywhere! From Android To Desktop And Now Comes Web!,Jameel,Ahmed Adel,3:15 PM,4:45 PM,Saturday,,,,,,
35,TDD anti-patterns,Main,Ahmed Misbah,4:00 PM,4:45 PM,Saturday,,,,,,
36,From MVVM to MVI,Main,Aly Hamalawey,4:45 PM,5:30 PM,Saturday,,,,,,
37,Composing your design system in Jetpack Compose,Jameel,Frank Tamre,4:45 PM,6:15 PM,Saturday,,,,,,
38,Be An Effective Leader,Main,Hany Barakat,5:30 PM,6:15 PM,Saturday,,,,,,
39,Closing,Main,,6:15 PM,6:30 PM,Saturday,,,,,,
